Zip code,City,"Number of returns, 2001","Average income, 2001","Number of returns, 2005","Average income, 2005","% change in avg. income, 2001-5"
2108,Boston,2404.00,282280.00,2389.00,429103.00,52.00
2109,Boston,3680.00,239922.00,3055.00,238741.00,-0.50
2110,Boston,2254.00,347807.00,2847.00,340744.00,-2.00
2111,Boston,2089.00,90023.00,2595.00,167960.00,86.60
2112,Boston,386.00,26966.00,348.00,32598.00,20.90
2113,Boston,4322.00,52829.00,3927.00,56887.00,7.70
2114,Boston,6492.00,100673.00,6151.00,131324.00,30.40
2115,Boston,8369.00,68112.00,7680.00,81842.00,20.20
2116,Boston,10096.00,201260.00,9983.00,248469.00,23.50
2117,Boston,318.00,59025.00,345.00,56557.00,-4.20
2118,Boston,10848.00,62965.00,10927.00,76958.00,22.20
2119,Boston,10796.00,26812.00,10294.00,29044.00,8.30
2120,Boston,5514.00,26900.00,4957.00,28454.00,5.80
2121,Boston,9917.00,25430.00,9583.00,26412.00,3.90
2122,Boston,10754.00,33266.00,9719.00,35637.00,7.10
2123,Boston,370.00,30970.00,256.00,37461.00,21.00
2124,Boston,22192.00,31683.00,20103.00,34556.00,9.10
2125,Boston,14797.00,29628.00,13831.00,33654.00,13.60
2126,Boston (Mattapan),12375.00,30629.00,11715.00,33468.00,9.30
2127,Boston,15312.00,45375.00,15950.00,51319.00,13.10
2128,Boston,15822.00,29370.00,15836.00,31671.00,7.80
2129,Boston (Charlestown),8435.00,79323.00,8363.00,88373.00,11.40
2130,Boston (Jamaica Plain),19420.00,45228.00,18128.00,53882.00,19.10
2131,Boston (Roslindale),15566.00,40551.00,15050.00,44964.00,10.90
2132,Boston (West Roxbury),12684.00,57914.00,12087.00,63549.00,9.70
2133,Boston,43.00,39907.00,20.00,43200.00,8.30
2134,Boston (Allston),10337.00,31964.00,9046.00,34374.00,7.50
2135,Boston (Brighton),22324.00,40071.00,20458.00,41090.00,2.50
2136,Boston (Hyde Park),14451.00,38079.00,13369.00,40753.00,7.00
2137,Boston (Readville),120.00,44667.00,95.00,42316.00,-5.30
2138,Cambridge,15603.00,109686.00,15139.00,137788.00,25.60
2139,Cambridge,17973.00,49331.00,18232.00,55403.00,12.30
2140,Cambridge,9081.00,64383.00,8947.00,68356.00,6.20
2141,Cambridge,5482.00,43450.00,5269.00,49370.00,13.60
2142,Cambridge,1214.00,114528.00,1224.00,125190.00,9.30
2143,Somerville,14091.00,39303.00,13359.00,42223.00,7.40
2144,Somerville,14380.00,45665.00,13162.00,49822.00,9.10
2145,Somerville,12713.00,35227.00,12051.00,35862.00,1.80
2148,Malden,28656.00,39681.00,27790.00,40094.00,1.00
2149,Everett,18401.00,35950.00,17730.00,35614.00,-0.90
2150,Chelsea,14175.00,30448.00,13359.00,34086.00,12.00
2151,Revere,22330.00,37775.00,22489.00,37981.00,0.50
2152,Winthrop,9064.00,49098.00,8522.00,52549.00,7.00
2153,Medford,26.00,43808.00,23.00,17130.00,-60.90
2155,Medford,28507.00,46866.00,27327.00,50549.00,7.90
2156,Medford (West Medford),35.00,38114.00,22.00,37455.00,-1.70
2163,Boston,525.00,67282.00,628.00,67581.00,0.40
2169,Quincy,26478.00,45770.00,26267.00,49141.00,7.40
2170,Quincy,9984.00,45232.00,9874.00,46494.00,2.80
2171,Quincy,9328.00,54212.00,9322.00,54350.00,0.30
2176,Melrose,13633.00,64472.00,13125.00,68249.00,5.90
2180,Stoneham,11462.00,56389.00,11137.00,60422.00,7.20
2184,Braintree,17077.00,58441.00,16834.00,66171.00,13.20
2185,Braintree,124.00,88992.00,149.00,63839.00,-28.30
2186,Milton,12902.00,96995.00,12492.00,113813.00,17.30
2187,Milton (Milton Village),42.00,68357.00,36.00,61694.00,-9.70
2188,Weymouth,7099.00,48895.00,7285.00,52744.00,7.90
2189,Weymouth (East Weymouth),7346.00,47334.00,7027.00,49959.00,5.50
2190,Weymouth (South Weymouth),8214.00,53210.00,8153.00,57635.00,8.30
2191,Weymouth (North Weymouth),4565.00,47706.00,4376.00,51152.00,7.20
2199,Boston,878.00,220970.00,975.00,311283.00,40.90
2201,Boston,14.00,49714.00,19.00,41316.00,-16.90
2205,Boston,226.00,50535.00,1101.00,196593.00,289.00
2210,Boston,443.00,83880.00,748.00,122063.00,45.50
2215,Boston,6274.00,44249.00,5633.00,47086.00,6.40
2228,Boston (East Boston),51.00,45843.00,46.00,40457.00,-11.80
2238,Cambridge,456.00,74228.00,407.00,61779.00,-16.80
2269,Quincy,330.00,40355.00,296.00,45074.00,11.70
