date,emergencies,percapemergencies,income0,income1,income2,income3,income4,income5,precipitation,snow,tmax,tmin,awnd,avgprecipitation,avgsnow,avgtmax,avgtmin,avgawnd,sumtmax80,sumtmin70,sumtmax80_2,sumtmin70_2,yesterprecipitation,yestersnow,yestertmax,yestertmin,yesterawnd,avglow,avghigh,percapemergencies100000,income,temp_i0,temp_i1,temp_i2,temp_i3,temp_i4,temp_i5,mintemp_i0,mintemp_i1,mintemp_i2,mintemp_i3,mintemp_i4,mintemp_i5,tempExtr,etemp_i0,etemp_i1,etemp_i2,etemp_i3,etemp_i4,etemp_i5,tempExtr2,e2temp_i0,e2temp_i1,e2temp_i2,e2temp_i3,e2temp_i4,e2temp_i5,diffYesterdayPlusAbs,dtemp_i0,dtemp_i1,dtemp_i2,dtemp_i3,dtemp_i4,dtemp_i5,threshold70,thrtemp_i0,thrtemp_i1,thrtemp_i2,thrtemp_i3,thrtemp_i4,thrtemp_i5,threshold80,thr80temp_i0,thr80temp_i1,thr80temp_i2,thr80temp_i3,thr80temp_i4,thr80temp_i5,diffHist,dhtemp_i0,dhtemp_i1,dhtemp_i2,dhtemp_i3,dhtemp_i4,dhtemp_i5,diffWeek,dwtemp_i0,dwtemp_i1,dwtemp_i2,dwtemp_i3,dwtemp_i4,dwtemp_i5,diffWeek2,dw2temp_i0,dw2temp_i1,dw2temp_i2,dw2temp_i3,dw2temp_i4,dw2temp_i5,o80temp_i0,o80temp_i1,o80temp_i2,o80temp_i3,o80temp_i4,o80temp_i5,m70temp_i0,m70temp_i1,m70temp_i2,m70temp_i3,m70temp_i4,m70temp_i5,o802temp_i0,o802temp_i1,o802temp_i2,o802temp_i3,o802temp_i4,o802temp_i5,m702temp_i0,m702temp_i1,m702temp_i2,m702temp_i3,m702temp_i4,m702temp_i5
20120708,0,0,1,0,0,0,0,0,0,0,89,71,8.9499998,.02,0,72.571426,59.714287,7.5100002,28,4,136029,4,0,0,86,73,9.6199999,65,81,0,0,89,0,0,0,0,0,71,0,0,0,0,0,39,39,0,0,0,0,0,1521,1521,0,0,0,0,0,92,92,0,0,0,0,0,361,361,0,0,0,0,0,81,81,0,0,0,0,0,8,8,0,0,0,0,0,16.428574,16.428574,0,0,0,0,0,16.428574,16.428574,0,0,0,0,0,28,0,0,0,0,0,4,0,0,0,0,0,136029,0,0,0,0,0,4,0,0,0,0,0
20120708,0,0,0,1,0,0,0,0,0,0,89,71,8.9499998,.02,0,72.571426,59.714287,7.5100002,28,4,136029,4,0,0,86,73,9.6199999,65,81,0,1,0,89,0,0,0,0,0,71,0,0,0,0,39,0,39,0,0,0,0,1521,0,1521,0,0,0,0,92,0,92,0,0,0,0,361,0,361,0,0,0,0,81,0,81,0,0,0,0,8,0,8,0,0,0,0,16.428574,0,16.428574,0,0,0,0,16.428574,0,16.428574,0,0,0,0,0,28,0,0,0,0,0,4,0,0,0,0,0,136029,0,0,0,0,0,4,0,0,0,0
20120708,0,0,0,0,1,0,0,0,0,0,89,71,8.9499998,.02,0,72.571426,59.714287,7.5100002,28,4,136029,4,0,0,86,73,9.6199999,65,81,0,2,0,0,89,0,0,0,0,0,71,0,0,0,39,0,0,39,0,0,0,1521,0,0,1521,0,0,0,92,0,0,92,0,0,0,361,0,0,361,0,0,0,81,0,0,81,0,0,0,8,0,0,8,0,0,0,16.428574,0,0,16.428574,0,0,0,16.428574,0,0,16.428574,0,0,0,0,0,28,0,0,0,0,0,4,0,0,0,0,0,136029,0,0,0,0,0,4,0,0,0
20120708,1,8.2388615e-06,0,0,0,1,0,0,0,0,89,71,8.9499998,.02,0,72.571426,59.714287,7.5100002,28,4,136029,4,0,0,86,73,9.6199999,65,81,.82388616,3,0,0,0,89,0,0,0,0,0,71,0,0,39,0,0,0,39,0,0,1521,0,0,0,1521,0,0,92,0,0,0,92,0,0,361,0,0,0,361,0,0,81,0,0,0,81,0,0,8,0,0,0,8,0,0,16.428574,0,0,0,16.428574,0,0,16.428574,0,0,0,16.428574,0,0,0,0,0,28,0,0,0,0,0,4,0,0,0,0,0,136029,0,0,0,0,0,4,0,0
20120708,0,0,0,0,0,0,1,0,0,0,89,71,8.9499998,.02,0,72.571426,59.714287,7.5100002,28,4,136029,4,0,0,86,73,9.6199999,65,81,0,4,0,0,0,0,89,0,0,0,0,0,71,0,39,0,0,0,0,39,0,1521,0,0,0,0,1521,0,92,0,0,0,0,92,0,361,0,0,0,0,361,0,81,0,0,0,0,81,0,8,0,0,0,0,8,0,16.428574,0,0,0,0,16.428574,0,16.428574,0,0,0,0,16.428574,0,0,0,0,0,28,0,0,0,0,0,4,0,0,0,0,0,136029,0,0,0,0,0,4,0
20120708,0,0,0,0,0,0,0,1,0,0,89,71,8.9499998,.02,0,72.571426,59.714287,7.5100002,28,4,136029,4,0,0,86,73,9.6199999,65,81,0,5,0,0,0,0,0,89,0,0,0,0,0,71,39,0,0,0,0,0,39,1521,0,0,0,0,0,1521,92,0,0,0,0,0,92,361,0,0,0,0,0,361,81,0,0,0,0,0,81,8,0,0,0,0,0,8,16.428574,0,0,0,0,0,16.428574,16.428574,0,0,0,0,0,16.428574,0,0,0,0,0,28,0,0,0,0,0,4,0,0,0,0,0,136029,0,0,0,0,0,4
20120709,0,0,1,0,0,0,0,0,0,0,84,67,8.0500002,.02,0,72.285713,59.57143,7.3814287,26,4,136045,4,0,0,89,71,8.9499998,65,81,0,0,84,0,0,0,0,0,67,0,0,0,0,0,34,34,0,0,0,0,0,1156,1156,0,0,0,0,0,79,79,0,0,0,0,0,196,196,0,0,0,0,0,16,16,0,0,0,0,0,3,3,0,0,0,0,0,11.714287,11.714287,0,0,0,0,0,11.714287,11.714287,0,0,0,0,0,26,0,0,0,0,0,4,0,0,0,0,0,136045,0,0,0,0,0,4,0,0,0,0,0
20120709,1,8.0166747e-06,0,1,0,0,0,0,0,0,84,67,8.0500002,.02,0,72.285713,59.57143,7.3814287,26,4,136045,4,0,0,89,71,8.9499998,65,81,.80166745,1,0,84,0,0,0,0,0,67,0,0,0,0,34,0,34,0,0,0,0,1156,0,1156,0,0,0,0,79,0,79,0,0,0,0,196,0,196,0,0,0,0,16,0,16,0,0,0,0,3,0,3,0,0,0,0,11.714287,0,11.714287,0,0,0,0,11.714287,0,11.714287,0,0,0,0,0,26,0,0,0,0,0,4,0,0,0,0,0,136045,0,0,0,0,0,4,0,0,0,0
20120709,0,0,0,0,1,0,0,0,0,0,84,67,8.0500002,.02,0,72.285713,59.57143,7.3814287,26,4,136045,4,0,0,89,71,8.9499998,65,81,0,2,0,0,84,0,0,0,0,0,67,0,0,0,34,0,0,34,0,0,0,1156,0,0,1156,0,0,0,79,0,0,79,0,0,0,196,0,0,196,0,0,0,16,0,0,16,0,0,0,3,0,0,3,0,0,0,11.714287,0,0,11.714287,0,0,0,11.714287,0,0,11.714287,0,0,0,0,0,26,0,0,0,0,0,4,0,0,0,0,0,136045,0,0,0,0,0,4,0,0,0
20120709,1,8.2388615e-06,0,0,0,1,0,0,0,0,84,67,8.0500002,.02,0,72.285713,59.57143,7.3814287,26,4,136045,4,0,0,89,71,8.9499998,65,81,.82388616,3,0,0,0,84,0,0,0,0,0,67,0,0,34,0,0,0,34,0,0,1156,0,0,0,1156,0,0,79,0,0,0,79,0,0,196,0,0,0,196,0,0,16,0,0,0,16,0,0,3,0,0,0,3,0,0,11.714287,0,0,0,11.714287,0,0,11.714287,0,0,0,11.714287,0,0,0,0,0,26,0,0,0,0,0,4,0,0,0,0,0,136045,0,0,0,0,0,4,0,0
