Date,Emergencies,Per Cap Emergencies,income0,income1,income2,income3,income4,income5,Precipitation,Snow,Tmax,Tmin,Awnd,Avg Precipitation,Avg Snow,Avg Tmax,Avg Tmin,Avg Awnd,Yester Precipitation,Yester Snow,Yester Tmax,Yester Tmin,Yester Awnd,Avg Low,Avg High
20120708,2,3.026588580681285e-05,1,0,0,0,0,0,0,0,89,71,8.95,0.02,0.0,72.57142857142857,59.714285714285715,7.510000000000001,0,0,86,73,9.62,65,81
20120708,6,4.81000481000481e-05,0,1,0,0,0,0,0,0,89,71,8.95,0.02,0.0,72.57142857142857,59.714285714285715,7.510000000000001,0,0,86,73,9.62,65,81
20120708,0,0.0,0,0,1,0,0,0,0,0,89,71,8.95,0.02,0.0,72.57142857142857,59.714285714285715,7.510000000000001,0,0,86,73,9.62,65,81
20120708,3,2.471658317954126e-05,0,0,0,1,0,0,0,0,89,71,8.95,0.02,0.0,72.57142857142857,59.714285714285715,7.510000000000001,0,0,86,73,9.62,65,81
20120708,1,6.2661745630909785e-06,0,0,0,0,1,0,0,0,89,71,8.95,0.02,0.0,72.57142857142857,59.714285714285715,7.510000000000001,0,0,86,73,9.62,65,81
20120708,1,6.3199539907349474e-06,0,0,0,0,0,1,0,0,89,71,8.95,0.02,0.0,72.57142857142857,59.714285714285715,7.510000000000001,0,0,86,73,9.62,65,81
20120709,1,1.5132942903406426e-05,1,0,0,0,0,0,0,0,84,67,8.05,0.02,0.0,72.28571428571429,59.57142857142857,7.381428571428572,0,0,89,71,8.95,65,81
20120709,2,1.60333493666827e-05,0,1,0,0,0,0,0,0,84,67,8.05,0.02,0.0,72.28571428571429,59.57142857142857,7.381428571428572,0,0,89,71,8.95,65,81
20120709,1,1.317037193130334e-05,0,0,1,0,0,0,0,0,84,67,8.05,0.02,0.0,72.28571428571429,59.57142857142857,7.381428571428572,0,0,89,71,8.95,65,81
20120709,1,8.238861059847087e-06,0,0,0,1,0,0,0,0,84,67,8.05,0.02,0.0,72.28571428571429,59.57142857142857,7.381428571428572,0,0,89,71,8.95,65,81
20120709,3,1.8798523689272935e-05,0,0,0,0,1,0,0,0,84,67,8.05,0.02,0.0,72.28571428571429,59.57142857142857,7.381428571428572,0,0,89,71,8.95,65,81
