Date,Emergencies,Per Cap Emergencies,income0,income1,income2,income3,income4,income5,Precipitation,Snow,Tmax,Tmin,Awnd,Avg Precipitation,Avg Snow,Avg Tmax,Avg Tmin,Avg Awnd,sumTmax80,sumTmin70,sumTmax80_2,sumTmin70_2,Yester Precipitation,Yester Snow,Yester Tmax,Yester Tmin,Yester Awnd,Avg Low,Avg High
20120708,0,0.0,1,0,0,0,0,0,0,0,89,71,8.95,0.02,0.0,72.57142857142857,59.714285714285715,7.510000000000001,28.0,4.0,136029.0,4.0,0,0,86,73,9.62,65,81
20120708,0,0.0,0,1,0,0,0,0,0,0,89,71,8.95,0.02,0.0,72.57142857142857,59.714285714285715,7.510000000000001,28.0,4.0,136029.0,4.0,0,0,86,73,9.62,65,81
20120708,0,0.0,0,0,1,0,0,0,0,0,89,71,8.95,0.02,0.0,72.57142857142857,59.714285714285715,7.510000000000001,28.0,4.0,136029.0,4.0,0,0,86,73,9.62,65,81
20120708,1,8.238861059847087e-06,0,0,0,1,0,0,0,0,89,71,8.95,0.02,0.0,72.57142857142857,59.714285714285715,7.510000000000001,28.0,4.0,136029.0,4.0,0,0,86,73,9.62,65,81
20120708,0,0.0,0,0,0,0,1,0,0,0,89,71,8.95,0.02,0.0,72.57142857142857,59.714285714285715,7.510000000000001,28.0,4.0,136029.0,4.0,0,0,86,73,9.62,65,81
20120708,0,0.0,0,0,0,0,0,1,0,0,89,71,8.95,0.02,0.0,72.57142857142857,59.714285714285715,7.510000000000001,28.0,4.0,136029.0,4.0,0,0,86,73,9.62,65,81
20120709,0,0.0,1,0,0,0,0,0,0,0,84,67,8.05,0.02,0.0,72.28571428571429,59.57142857142857,7.381428571428572,26.0,4.0,136045.0,4.0,0,0,89,71,8.95,65,81
20120709,1,8.01667468334135e-06,0,1,0,0,0,0,0,0,84,67,8.05,0.02,0.0,72.28571428571429,59.57142857142857,7.381428571428572,26.0,4.0,136045.0,4.0,0,0,89,71,8.95,65,81
20120709,0,0.0,0,0,1,0,0,0,0,0,84,67,8.05,0.02,0.0,72.28571428571429,59.57142857142857,7.381428571428572,26.0,4.0,136045.0,4.0,0,0,89,71,8.95,65,81
20120709,1,8.238861059847087e-06,0,0,0,1,0,0,0,0,84,67,8.05,0.02,0.0,72.28571428571429,59.57142857142857,7.381428571428572,26.0,4.0,136045.0,4.0,0,0,89,71,8.95,65,81
20120709,0,0.0,0,0,0,0,1,0,0,0,84,67,8.05,0.02,0.0,72.28571428571429,59.57142857142857,7.381428571428572,26.0,4.0,136045.0,4.0,0,0,89,71,8.95,65,81
