Date,Average Low,Average High
20160101,24,38
20160102,23,38
20160103,23,38
20160104,23,37
20160105,23,37
20160106,23,37
20160107,22,37
20160108,22,37
20160109,22,37
20160110,22,37
20160111,22,37
20160112,22,36
20160113,22,36
20160114,22,36
20160115,22,36
20160116,22,36
20160117,22,36
20160118,22,36
20160119,22,36
20160120,21,36
20160121,21,36
20160122,21,36
20160123,21,36
20160124,22,36
20160125,22,36
20160126,22,36
20160127,22,36
20160128,22,36
20160129,22,36
20160130,22,36
20160131,22,37
20160201,23,36
20160202,23,37
20160203,23,37
20160204,23,37
20160205,23,37
20160206,23,37
20160207,23,37
20160208,24,38
20160209,24,38
20160210,24,38
20160211,24,38
20160212,24,38
20160213,24,38
20160214,25,39
20160215,25,39
20160216,25,39
20160217,25,39
20160218,25,39
20160219,25,40
20160220,26,40
20160221,26,40
20160222,26,40
20160223,26,40
20160224,26,41
20160225,27,41
20160226,27,41
20160227,27,41
20160228,27,41
20160229,27,41
20160301,27,42
20160302,28,42
20160303,28,42
20160304,28,43
20160305,28,43
20160306,29,43
20160307,29,44
20160308,29,44
20160309,30,44
20160310,30,44
20160311,30,45
20160312,30,45
20160313,31,45
20160314,31,46
20160315,31,46
20160316,31,46
20160317,32,47
20160318,32,47
20160319,32,47
20160320,33,47
20160321,33,48
20160322,33,48
20160323,33,48
20160324,34,49
20160325,34,49
20160326,34,49
20160327,35,50
20160328,35,50
20160329,35,50
20160330,35,51
20160331,36,51
20160401,36,50
20160402,36,51
20160403,37,51
20160404,37,51
20160405,37,52
20160406,38,52
20160407,38,53
20160408,38,53
20160409,39,53
20160410,39,54
20160411,39,54
20160412,40,54
20160413,40,55
20160414,40,55
20160415,41,55
20160416,41,56
20160417,41,56
20160418,42,57
20160419,42,57
20160420,42,57
20160421,42,58
20160422,43,58
20160423,43,58
20160424,43,59
20160425,44,59
20160426,44,59
20160427,44,60
20160428,45,60
20160429,45,61
20160430,45,61
20160501,45,61
20160502,46,62
20160503,46,62
20160504,46,63
20160505,47,63
20160506,47,63
20160507,47,64
20160508,48,64
20160509,48,64
20160510,48,65
20160511,49,65
20160512,49,65
20160513,49,66
20160514,50,66
20160515,50,66
20160516,50,67
20160517,51,67
20160518,51,67
20160519,51,68
20160520,51,68
20160521,52,68
20160522,52,69
20160523,52,69
20160524,53,69
20160525,53,70
20160526,53,70
20160527,54,71
20160528,54,71
20160529,54,71
20160530,55,72
20160531,55,72
20160601,55,71
20160602,55,72
20160603,56,72
20160604,56,72
20160605,56,73
20160606,57,73
20160607,57,73
20160608,57,74
20160609,58,74
20160610,58,74
20160611,58,75
20160612,59,75
20160613,59,75
20160614,59,76
20160615,60,76
20160616,60,76
20160617,60,77
20160618,60,77
20160619,61,77
20160620,61,78
20160621,61,78
20160622,62,78
20160623,62,78
20160624,62,79
20160625,62,79
20160626,63,79
20160627,63,79
20160628,63,80
20160629,63,80
20160630,64,80
20160701,64,80
20160702,64,80
20160703,64,81
20160704,64,81
20160705,65,81
20160706,65,81
20160707,65,81
20160708,65,81
20160709,65,81
20160710,65,81
20160711,65,82
20160712,65,82
20160713,66,82
20160714,66,82
20160715,66,82
20160716,66,82
20160717,66,82
20160718,66,82
20160719,66,82
20160720,66,82
20160721,66,82
20160722,66,82
20160723,66,82
20160724,66,82
20160725,66,82
20160726,66,82
20160727,66,82
20160728,66,82
20160729,66,82
20160730,66,82
20160731,66,81
20160801,66,82
20160802,66,82
20160803,66,82
20160804,66,82
20160805,66,82
20160806,66,82
20160807,66,82
20160808,66,82
20160809,66,81
20160810,66,81
20160811,65,81
20160812,65,81
20160813,65,81
20160814,65,81
20160815,65,80
20160816,65,80
20160817,65,80
20160818,64,80
20160819,64,80
20160820,64,80
20160821,64,79
20160822,64,79
20160823,64,79
20160824,63,79
20160825,63,79
20160826,63,78
20160827,63,78
20160828,62,78
20160829,62,78
20160830,62,77
20160831,62,77
20160901,61,77
20160902,61,77
20160903,61,76
20160904,61,76
20160905,60,76
20160906,60,76
20160907,60,75
20160908,59,75
20160909,59,75
20160910,59,74
20160911,58,74
20160912,58,74
20160913,58,73
20160914,57,73
20160915,57,73
20160916,57,72
20160917,56,72
20160918,56,72
20160919,56,72
20160920,55,71
20160921,55,71
20160922,55,70
20160923,54,70
20160924,54,70
20160925,54,69
20160926,53,69
20160927,53,69
20160928,53,68
20160929,52,68
20160930,52,68
20161001,52,67
20161002,51,66
20161003,51,66
20161004,51,66
20161005,50,65
20161006,50,65
20161007,49,65
20161008,49,64
20161009,49,64
20161010,48,63
20161011,48,63
20161012,48,63
20161013,47,62
20161014,47,62
20161015,47,62
20161016,46,61
20161017,46,61
20161018,46,61
20161019,45,60
20161020,45,60
