 NatureCode |      Freq.     Percent        Cum.
------------+-----------------------------------
         AB |         53        0.37        0.37
       ABAN |         17        0.12        0.49
     ABANBU |          5        0.03        0.52
     ABANRE |         19        0.13        0.66
     ABDWIP |          3        0.02        0.68
     ABDWRP |          1        0.01        0.68
     ABIP   |         75        0.52        1.21
     ABRPT  |         29        0.20        1.41
     ADMRPT |          5        0.03        1.45
      ALARM |        148        1.03        2.48
     ALARMC |          1        0.01        2.49
     ALARMH |          2        0.01        2.50
     ALARMI |        143        1.00        3.50
     ALARMM |         69        0.48        3.98
     ALARMP |          2        0.01        3.99
     ALARMR |          4        0.03        4.02
     ANMBIT |          2        0.01        4.04
     ANMRPT |          1        0.01        4.04
        AOD |         35        0.24        4.29
     AOD    |         61        0.43        4.71
     ARMROB |          1        0.01        4.72
     ARREST |         23        0.16        4.88
     ASLTIP |          3        0.02        4.90
     ASSTPO |          2        0.01        4.92
     ASTEMS |         49        0.34        5.26
         BE |         13        0.09        5.35
     BEIP   |         19        0.13        5.48
     BEMVRT |          1        0.01        5.49
     BERPT  |          8        0.06        5.55
     BIOT   |          1        0.01        5.55
      BLEED |          1        0.01        5.56
     BOMB   |          1        0.01        5.57
     BOMBT  |          1        0.01        5.57
       BURN |          5        0.03        5.61
     BURN1  |         34        0.24        5.85
     CARDIA |        202        1.41        7.26
     CARST  |        734        5.13       12.38
     CD1    |          2        0.01       12.40
     CD10   |          3        0.02       12.42
       CD11 |          4        0.03       12.45
     CD11   |         12        0.08       12.53
       CD13 |          1        0.01       12.54
     CD13   |          1        0.01       12.54
     CD15   |          1        0.01       12.55
     CD16   |          1        0.01       12.56
       CD19 |          4        0.03       12.59
     CD19   |          7        0.05       12.63
       CD23 |          5        0.03       12.67
     CD23   |          1        0.01       12.68
       CD24 |          2        0.01       12.69
     CD24   |          3        0.02       12.71
     CD303  |          1        0.01       12.72
     CD35   |          2        0.01       12.73
        CD5 |          2        0.01       12.75
        CD7 |          4        0.03       12.77
     CD7    |          2        0.01       12.79
        CD9 |          9        0.06       12.85
     CD9    |         12        0.08       12.93
       CD99 |          1        0.01       12.94
     CD99   |          3        0.02       12.96
     CHOKE  |         15        0.10       13.07
     CODE99 |          1        0.01       13.07
     COLB   |          1        0.01       13.08
     CONFPR |         41        0.29       13.37
     CRIP   |          3        0.02       13.39
     DETAIL |          1        0.01       13.40
     DISTRB |        109        0.76       14.16
     DK     |         22        0.15       14.31
     DKDIST |         12        0.08       14.39
     DMV    |          1        0.01       14.40
     DOGBIT |         71        0.50       14.90
     DOGRPT |         26        0.18       15.08
     DROWN  |         10        0.07       15.15
     DRUNKS |          1        0.01       15.16
       DVIP |         14        0.10       15.25
     DVIP   |         36        0.25       15.50
     DWNPWR |          1        0.01       15.51
        EDP |        722        5.04       20.55
     EDP2   |      1,584       11.06       31.62
     EXHEM1 |          5        0.03       31.65
     EXPLOS |          1        0.01       31.66
     FDBODY |          4        0.03       31.69
     FDCHLD |          2        0.01       31.70
     FDWEAP |          1        0.01       31.71
      FIGHT |         43        0.30       32.01
     FIGHT  |         70        0.49       32.50
       FIRE |          5        0.03       32.53
     FIREB  |         14        0.10       32.63
     GANG   |          3        0.02       32.65
     HARPT  |          5        0.03       32.69
     HAZ    |          2        0.01       32.70
     HAZARD |          1        0.01       32.71
     HAZMAT |          1        0.01       32.71
        INJ |         50        0.35       33.06
     INJAML |          1        0.01       33.07
     INJOFF |      1,043        7.28       40.35
     INJRPT |         43        0.30       40.66
     INVCHD |         30        0.21       40.86
     INVEST |        268        1.87       42.74
     IVDRUG |          6        0.04       42.78
     IVLIC  |          1        0.01       42.79
       IVMV |          7        0.05       42.83
     IVMV   |          5        0.03       42.87
      IVPER |        798        5.57       48.44
     IVPER  |      1,512       10.56       59.00
     IVPREM |         98        0.68       59.69
     JUMPER |         28        0.20       59.88
     KIDNAP |          1        0.01       59.89
     LANTEN |         12        0.08       59.97
     LARCEN |          7        0.05       60.02
     LARCIP |          4        0.03       60.05
     LARCRT |          2        0.01       60.06
     LMUSIC |          1        0.01       60.07
     LOCK   |          5        0.03       60.11
      MAJOR |          1        0.01       60.11
     MEET   |         13        0.09       60.20
       MISC |         35        0.24       60.45
     MISC   |         16        0.11       60.56
     MISCRP |          6        0.04       60.60
     MISPER |         15        0.10       60.71
     MISSIN |          4        0.03       60.73
     MSNCOM |         27        0.19       60.92
        MVA |         53        0.37       61.29
     MVA    |          6        0.04       61.34
     MVADD  |          1        0.01       61.34
     MVAINJ |         11        0.08       61.42
     MVANO  |          2        0.01       61.43
     MVARPT |          2        0.01       61.45
     MVPED1 |         63        0.44       61.89
     MVPED2 |         21        0.15       62.03
       NIDV |         54        0.38       62.41
     NIDV   |        115        0.80       63.21
     NOISE  |          1        0.01       63.22
     NOTIFY |         11        0.08       63.30
         OT |          1        0.01       63.30
     OT     |          4        0.03       63.33
     OVRDOS |        431        3.01       66.34
     PANHAN |          1        0.01       66.35
     PARTY  |          2        0.01       66.36
     PDRPT  |          1        0.01       66.37
     PERGUN |         22        0.15       66.52
     PKNIFE |         87        0.61       67.13
     POISON |        176        1.23       68.36
      PRIOR |          3        0.02       68.38
     PRIOR  |          4        0.03       68.41
       PROP |          2        0.01       68.42
     PRSCRM |         57        0.40       68.82
      PSHOT |          6        0.04       68.86
     PSHOT  |          1        0.01       68.87
     Prscrm |          1        0.01       68.88
       RAPE |          2        0.01       68.89
     RAPEIP |          1        0.01       68.90
     RAPRPT |          2        0.01       68.91
     REMOVE |         69        0.48       69.40
      REQEP |        103        0.72       70.11
     REQEP  |        394        2.75       72.87
