Date,TMax,CARDIA,CARST,UNCONS,IVPER,UNK
20130824,75.0,0,1,0,0,0
20130825,81.0,0,1,1,0,0
20130826,85.0,0,2,1,0,0
20140129,41.0,0,1,1,0,0
20130820,78.0,0,2,0,0,0
20130821,83.0,0,4,0,0,0
20130822,73.0,0,2,0,0,0
20130823,71.0,0,0,1,0,0
20130828,75.0,0,1,0,0,0
20130829,82.0,0,0,1,0,0
20150531,77.0,0,0,3,4,0
20130718,78.0,0,2,0,0,0
20130719,90.0,0,0,2,0,0
20130712,89.0,0,0,2,0,0
20130710,77.0,0,2,1,0,0
20130711,83.0,0,1,1,0,0
20130716,68.0,0,2,0,0,0
20130717,75.0,0,2,0,0,0
20130714,82.0,0,2,0,0,0
20130715,82.0,0,4,0,0,0
20140827,82.0,1,0,3,6,0
20140826,85.0,0,0,2,1,0
20140825,81.0,0,0,0,4,0
20140824,75.0,0,0,3,1,0
20140823,71.0,0,0,0,4,0
20140822,73.0,0,0,2,5,1
20140821,83.0,1,0,3,0,1
20140820,78.0,0,0,1,6,0
20141028,65.0,2,0,1,3,1
20141229,40.0,3,0,1,3,0
20140829,82.0,0,0,1,6,1
20140828,75.0,1,0,0,4,0
20140214,12.0,0,1,0,0,0
20130911,73.0,0,2,0,0,0
20130912,71.0,0,1,0,0,0
20130913,66.0,0,1,2,0,0
20120708,88.0,0,1,1,0,0
20120709,69.0,0,1,2,0,0
20140212,24.0,0,0,1,0,0
20130917,89.0,0,2,2,0,0
20130918,85.0,0,0,1,0,0
20130919,79.0,0,0,2,0,0
20140218,35.0,0,1,2,0,0
20140219,37.0,0,1,0,0,0
20141130,38.0,1,0,1,6,1
20140528,86.0,0,1,3,0,0
20140529,72.0,0,0,3,0,0
20140526,87.0,0,1,4,0,0
20140527,85.0,0,0,2,0,0
20140524,83.0,0,2,3,0,0
20140525,81.0,0,2,2,0,0
20140522,76.0,0,1,4,0,0
20140523,65.0,0,2,1,0,0
20140520,66.0,0,1,1,0,0
20140521,67.0,0,1,0,0,0
20140611,88.0,0,0,2,0,0
20150118,29.0,0,0,2,5,1
20150119,25.0,0,0,1,4,0
20150112,37.0,0,0,4,3,0
20150113,33.0,0,0,0,2,0
20150110,58.0,0,0,1,3,0
20150111,51.0,1,0,1,4,1
20150116,43.0,2,0,1,2,2
20140318,52.0,0,0,2,0,0
20150114,30.0,1,0,3,1,2
20150115,42.0,1,0,4,1,0
20140328,47.0,0,0,6,0,0
20140329,51.0,0,0,4,0,0
20141101,62.0,0,0,2,4,1
20141107,69.0,3,0,0,5,2
20140612,79.0,0,1,2,0,0
20141105,76.0,0,0,0,8,0
20140625,81.0,0,0,3,2,1
20140320,35.0,0,2,0,0,0
20140321,44.0,0,0,1,0,0
20140322,49.0,0,0,2,0,0
20140323,63.0,0,0,1,0,0
20140324,43.0,0,2,2,0,0
20140325,46.0,0,0,2,0,0
20120830,88.0,0,1,0,0,0
20120831,90.0,0,1,3,0,0
20121208,44.0,0,1,0,0,0
20121209,46.0,0,3,1,0,0
20121203,52.0,0,0,1,0,0
20121201,45.0,0,0,3,0,0
20121206,59.0,0,1,3,0,0
20121207,56.0,0,0,2,0,0
20121204,48.0,0,3,0,0,0
20121205,53.0,0,0,3,0,0
20140624,84.0,0,0,0,2,0
20131127,64.0,0,5,2,0,0
20140614,74.0,0,0,2,0,0
20150206,35.0,0,0,1,1,0
20150207,44.0,2,0,5,3,0
20150204,56.0,0,0,3,0,0
20140615,63.0,0,1,1,0,0
20140518,58.0,0,0,2,0,0
20150205,43.0,2,0,0,2,0
20121118,48.0,0,2,1,0,0
20121119,55.0,0,2,1,0,0
20121116,61.0,0,0,1,0,0
20121117,45.0,0,0,2,0,0
20121114,47.0,0,0,1,0,0
20121115,54.0,0,0,1,0,0
20121113,59.0,0,4,0,0,0
20150203,57.0,0,0,0,2,0
20120902,91.0,0,2,1,0,0
20120903,82.0,0,1,3,0,0
20130314,45.0,0,0,1,0,0
