Id,Zipcode,Average Income,Date,Time,NatureCode,Hour
120716501,2131,44964,20121114,3:07,ALARMM,3
120720612,2127,51319,20121114,3:41,INJOFF,3
120716633,2132,63549,20121114,7:18,REQP  ,7
120716808,2135,41090,20121114,8:52,UNCONS,8
120718413,2127,51319,20121114,9:39,AOD   ,9
120717330,2130,53882,20121114,12:44,OVRDOS,12
120719562,2122,35637,20121114,14:00,UNK   ,14
120718261,2114,131324,20121114,19:30,IVPER ,19
120718360,2119,29044,20121114,21:02,REQEP ,21
120718468,2118,76958,20121114,21:59,UNK   ,21
120718667,2130,53882,20121115,0:50,UNCONS,0
120719143,2118,76958,20121115,8:48,ABRPT ,8
120719184,2125,33654,20121115,9:10,IVPER ,9
120719219,2131,44964,20121115,9:25,IVPER ,9
120719474,2128,31671,20121115,11:25,ABANRE,11
120720239,2108,429103,20121115,11:45,INJOFF,11
120719846,2136,40753,20121115,14:02,IVPER ,14
120720048,2136,40753,20121115,15:37,EDP2  ,15
120720172,2126,33468,20121115,16:30,EDP2  ,16
120720250,2124,34556,20121115,17:11,INVCHD,17
120720272,2125,33654,20121115,17:17,EDP2  ,17
120729013,2134,34374,20121115,18:00,INVEST,18
120721109,2122,35637,20121116,2:37,IVPREM,2
120721602,2127,51319,20121116,10:00,UNK   ,10
120721676,2132,63549,20121116,10:00,IVPER ,10
120721911,2215,47086,20121116,12:16,OVRDOS,12
120722262,2131,44964,20121116,14:50,EDP2  ,14
120722518,2126,33468,20121116,16:55,EDP2  ,16
120722988,2124,34556,20121116,20:00,EDP2  ,20
120723013,2118,76958,20121116,20:52,JUMPER,20
120723038,2130,53882,20121116,21:03,OVRDOS,21
120723186,2127,51319,20121116,22:30,IVPER ,22
120723294,2130,53882,20121116,23:59,UNCONS,23
120728284,2118,76958,20121117,0:00,SDNDTH,0
120723454,2127,51319,20121117,1:16,UNK   ,1
120723773,2199,311283,20121117,7:10,EDP2  ,7
120723818,2127,51319,20121117,8:00,UNCONS,8
120723910,2122,35637,20121117,9:04,EDP2  ,9
120724017,2131,44964,20121117,10:22,IVPER ,10
120724103,2126,33468,20121117,11:04,UNCONS,11
120724231,2132,63549,20121117,12:11,IVPER ,12
120724427,2124,34556,20121117,14:03,UNK   ,14
120724639,2121,26412,20121117,16:14,MVPED1,16
120725203,2114,131324,20121117,21:35,UNK   ,21
120725410,2120,28454,20121117,23:17,TRAUMA,23
120725795,2124,34556,20121118,2:07,IVPER ,2
120725837,2116,248469,20121118,2:30,IVPER ,2
120726224,2134,34374,20121118,9:35,IVPER ,9
120728481,2125,33654,20121118,11:05,INJOFF,11
120726367,2128,31671,20121118,11:32,CARST ,11
120726450,2122,35637,20121118,12:10,UNCONS,12
120726527,2113,56887,20121118,13:10,EDP2  ,13
120726914,2113,56887,20121118,17:25,CARST ,17
120726959,2120,28454,20121118,17:49,REQP  ,17
120727137,2122,35637,20121118,20:14,UNK   ,20
120727285,2127,51319,20121118,21:52,OVRDOS,21
120727482,2130,53882,20121119,0:42,UNCONS,0
120727548,2134,34374,20121119,1:38,EDP2  ,1
120727692,2115,81842,20121119,5:57,EDP2  ,5
120727771,2108,429103,20121119,7:31,CARST ,7
120728139,2128,31671,20121119,10:27,OVRDOS,10
120728551,2122,35637,20121119,13:55,REQP  ,13
120728795,2130,53882,20121119,15:46,REQEP ,15
120728825,2130,53882,20121119,16:19,EDP2  ,16
120729230,2116,248469,20121119,18:05,INJOFF,18
120729233,2116,248469,20121119,18:05,INJOFF,18
120729174,2130,53882,20121119,18:56,CARST ,18
120728350,2119,29044,20121119,19:20,IVPER ,19
120729453,2119,29044,20121119,21:37,EDP2  ,21
120729708,2125,33654,20121120,1:08,NIDV  ,1
120730300,2125,33654,20121120,9:45,EDP2  ,9
120730447,2119,29044,20121120,11:00,CARST ,11
120730609,2210,122063,20121120,12:20,TRAUMA,12
120730660,2125,33654,20121120,12:46,UNK   ,12
120731054,2130,53882,20121120,15:30,EDP2  ,15
120731542,2119,29044,20121120,17:18,INJOFF,17
120731354,2119,29044,20121120,17:40,UNK   ,17
120731444,2131,44964,20121120,18:23,EDP2  ,18
120731508,2125,33654,20121120,19:00,UNK   ,19
120731666,2116,248469,20121120,20:33,UNCONS,20
120731732,2126,33468,20121120,21:12,EDP2  ,21
120732028,2129,88373,20121121,0:43,INVEST,0
120732368,2130,53882,20121121,8:17,REQP  ,8
120733176,2114,131324,20121121,11:00,INJOFF,11
120732761,2127,51319,20121121,11:06,EDP2  ,11
120732816,2122,35637,20121121,11:33,UNCONS,11
120733039,2125,33654,20121121,13:03,IVPER ,13
120733352,2121,26412,20121121,15:21,REQP  ,15
120733482,2124,34556,20121121,16:26,REQEP ,16
120733598,2136,40753,20121121,17:10,EDP2  ,17
120734037,2132,63549,20121121,21:20,UNCONS,21
120734224,2210,122063,20121121,23:30,JUMPER,23
120734320,2119,29044,20121122,0:49,UNCONS,0
120734616,2136,40753,20121122,7:19,REQFP ,7
120734647,2124,34556,20121122,8:08,CARST ,8
120734717,2130,53882,20121122,10:09,REQEP ,10
120735138,2114,131324,20121122,17:55,EDP2  ,17
120735746,2120,28454,20121123,8:06,REQEP ,8
120736807,2132,63549,20121123,18:57,CARST ,18
120736934,2135,41090,20121123,20:09,REQP  ,20
120737035,2129,88373,20121123,20:20,INJOFF,20
120737034,2121,26412,20121123,21:00,REQP  ,21
120737141,2108,429103,20121123,21:23,IVPER ,21
120737821,2126,33468,20121124,9:37,IVPER ,9
120737923,2126,33468,20121124,10:40,REQEP ,10
