Used zips,Zip code,"Average income, 2005",Population 2013
2108,2108,429103,4062
2109,2109,238741,4241
2110,2110,340744,1752
2111,2111,167960,7771
2113,2113,56887,6843
2114,2114,131324,11994
2115,2115,81842,28928
2116,2116,248469,21793
2118,2118,76958,27873
2119,2119,29044,24767
2120,2120,28454,14221
2121,2121,26412,27093
2122,2122,35637,24546
2124,2124,34556,51382
2125,2125,33654,34172
2126,2126,33468,27984
2127,2127,51319,33825
2128,2128,31671,43575
2129,2129,88373,17454
2130,2130,53882,37541
2131,2131,44964,30960
2132,2132,63549,27628
2133,2133,43200,.
2134,2134,34374,19009
2135,2135,41090,36932
2136,2136,40753,29271
2139,2139,55403,36015
2163,2163,67581,2100
2171,2171,54350,17735
2186,2186,113813,27094
2199,2199,311283,1273
2205,2205,196593,.
2210,2210,122063,1894
2215,2215,47086,24213
